WORD;DEFINITION;Type;;GROUPING
644;bifurcate;v;to divide or fork into two channels or branches
645;bigamy;n;the state of having two spouses simultaneously
646;bight;n;a corner, bend, or angle
647;bigot;n;a person utterly intolerant of any differing opinion
648;bilateral;a;having two sides
649;bilge;n;the widest circumference or belly of a cask
650;bilingual;a;fluent in two languages
651;bilious;a;peevish, irritable
652;bilk;v;to obtain money fraudulently
653;billow;v;present participle of billow
654;biography;n;a written account of another person's life
655;biped;n;an animal, or being that goes about on two feet or legs
656;birthright;n;something owed since birth, due to inheritance
657;bitterness;n;the quality of having a bitter taste
658;bivouac;v;to set up camp
659;bizarre;a;strangely unconventional in style or appearance
660;blanch;v;to grow or become white
661;bland;a;mild, soft, gentle
662;blandish;v;to persuade someone by using flattery, to cajole
663;blare;v;to make a loud sound
664;blasé;a;uninterested because of frequent exposure or indulgence
665;blaspheme;v;to speak against god or religious doctrine
666;blatant;a;obvious
667;blaze;n;a bright flame or fire
